rank,ts_code,name,industry,signal,confidence,tech_score,undervalue_score,accumulation_score,pe_ttm,pb,close,pct_chg,amount
37,600567.SH,山鹰国际,造纸,即将启动,0.654,26.4,39.0,60.0,,0.6729,1.73,4.85,628219.323
38,000713.SZ,国投丰乐,种植业,观望,0.654,14.0,23.5,70.0,110.8744,1.8644,6.97,1.75,179003.689
39,600816.SH,建元信托,多元金融,观望,0.653,-18.7,27.7,65.0,446.8587,2.0356,2.87,1.77,185403.145
40,601099.SH,太平洋,证券,观望,0.653,-7.5,29.9,70.0,86.7,2.8718,4.19,1.7,661427.817
41,002939.SZ,长城证券,证券,观望,0.651,-1.7,42.5,15.0,16.5069,1.2732,9.87,1.96,359598.481
42,300240.SZ,飞力达,仓储物流,即将启动,0.651,28.7,27.0,60.0,,2.0461,8.13,1.88,106057.832
43,300835.SZ,龙磁科技,矿物制品,即将启动,0.646,54.7,8.7,25.0,73.6433,8.9394,89.52,3.73,761030.112
44,001338.SZ,永顺泰,啤酒,观望,0.645,10.3,49.0,15.0,19.2169,1.7171,12.74,1.51,108244.493
45,920145.BJ,恒合股份,环境保护,观望,0.642,18.8,36.8,0.0,,4.8325,17.84,6.13,101061.203
46,000882.SZ,华联股份,其他商业,观望,0.642,-11.3,26.2,25.0,,0.7983,1.97,1.55,150705.287
47,300199.SZ,翰宇药业,化学制药,观望,0.641,-1.2,20.5,10.0,,25.4434,18.7,2.63,369372.82
48,300266.SZ,兴源环境,环境保护,观望,0.639,8.9,19.4,20.0,,118.8842,2.6,2.77,81306.887
49,600682.SH,南京新百,生物制药,观望,0.636,16.4,42.7,10.0,44.8167,0.5593,7.36,4.55,319318.613
50,600248.SH,陕建股份,建筑工程,观望,0.632,-4.6,56.1,5.0,12.1858,0.4672,3.61,1.12,122123.493
